SchoolNumber,Name,Address,ZipCode9,Phone,PrincipalName,GradeLevels,WebUrl,SchoolTypeDescription
190,Place Bridge Academy,7125 Cherry Creek North Drive,80224-2044,720-424-0960,Brenda Kazin,ECE - Grade 8,http://place.dpsk12.org/,K-8
192,REACH,940 Filmore St,,720-668-9691,Moira Coogan,ECE - Grade 5,,Elementary
194,William (Bill) Roberts,2100 Akron Way,80238-3087,720-424-2640,Patricia  Lea,ECE - Grade 8,http://billroberts.dpsk12.org,K-8
195,Florida Pitt Waller,21601 E 51st Place,80249-8647,720-424-2840,Kayla Grayson-Yizar,ECE - Grade 8,http://waller.dpsk12.org,K-8
196,Omar D. Blair,4905 Cathay St.,80249-8376,303-371-9570,Kristen Lee,K - Grade 8,http://www.omardblaircharterschool.com,K-8
197,Farrell B. Howell,14250 E Albrook Drive,80239-4946,720-424-2740,Rachel Massey,ECE - Grade 8,http://www.farrellbhowell.com,K-8
199,Lena Archuleta,16000 E. Maxwell Place,80239-5246,720-424-9888,Yolanda Ortega,K - Grade 5,http://www.lenaarchuleta.com/,Elementary
201,Academia Ana Marie Sandoval,3655 Wyandot St.,80211-2950,720-424-4370,Araceli OClair,ECE - Grade 6,http://sandoval.dpsk12.org,Elementary
203,Asbury,1320 E. Asbury Ave.,80210-4119,720-424-9750,Pam Kirk,K - Grade 5,http://asbury.dpsk12.org,Elementary
205,Valdez,2525 W. 29th Ave.,80211-3711,720-424-3310,Jessica Buckley,ECE - Grade 5,http://www.escuelavaldez.org/,Elementary
206,Ashley,1914 Syracuse St.,80220-2018,720-424-9748,Zachary Rahn,ECE - Grade 5,http://ashley.dpsk12.org,Elementary
207,Barnum,85 Hooker St.,80219-1444,720-424-9590,Elizabeth Vinson,ECE - Grade 5,http://barnum.dpsk12.org,Elementary
209,Beach Court,4950 Beach Court,80221-1208,720-424-9470,Leah Schultz-Bartlett,ECE - Grade 5,http://beachcourt.dpsk12.org,Elementary
210,Lowry,8001 E. Cedar Ave.,80230-6775,720-424-5910,Ben Cooper,ECE - Grade 5,http://lowry.dpsk12.org,Elementary
211,Odyssey School of Denver,6550 E. 21st Ave.,,303-316-3944,Marnie Moody-Cooke,K - Grade 8,http://www.odysseydenver.org,K-8
212,Wyatt Academy,3620 Franklin St.,80205-3325,303-292-5515,Wesley Frakes,K - Grade 5,http://www.wyattacademy.org/,Elementary
213,Bradley International School,3051 S. Elm St.,80222-7339,720-424-9468,Steve Wera,ECE - Grade 5,http://bradley.dpsk12.org,Elementary
214,Bromwell,2500 E. 4th Ave.,80206-4214,720-424-9330,Andrew Hodges,ECE - Grade 5,http://bromwell.dpsk12.org,Elementary
215,Brown International Academy,2550 Lowell Blvd.,80211-4429,720-424-9250,Susan Williams,ECE - Grade 5,http://brown.dpsk12.org,Elementary
216,Bryant-Webster Dual Language ECE-8 School,3635 Quivas St.,80211-3051,720-424-9170,Jose Martinez,ECE - Grade 8,http://bryantwebster.dpsk12.org,K-8
217,Carson,5420 E. 1st Ave.,80220-5801,720-424-9090,Anne Larkin,K - Grade 5,http://carson.dpsk12.org,Elementary
218,Cheltenham,1580 Julian St.,80204-1617,720-424-8810,Felicia Manzanares,ECE - Grade 5,http://cheltenham.dpsk12.org,Elementary
219,Colfax,1526 Tennyson St.,80204-1230,720-424-8740,Sandra Beruman,ECE - Grade 5,http://colfax.dpsk12.org,Elementary
220,College View,2675 S. Decatur St.,80219-6031,720-424-8660,Shelley Boberschmidt,ECE - Grade 5,http://collegeview.dpsk12.org,Elementary
221,Columbian,2925 W. 40th Ave.,80211-2076,720-424-8580,Jenifer Rouse,ECE - Grade 5,http://columbian.dpsk12.org,Elementary
222,Columbine,2540 E. 29th Ave.,80205-4730,720-424-8510,Jason Krause,ECE - Grade 5,http://columbine.dpsk12.org,Elementary
223,Cory,1550 S. Steele St.,80210-2938,720-424-8380,Liz Tencate,Grade 1 - Grade 5,http://cory.dpsk12.org/,Elementary
224,Cowell,4540 W. 10th Ave.,80204-2913,720-424-8300,Shayley Levensalor,ECE - Grade 5,http://cowell.dpsk12.org,Elementary
225,Polaris Elementary School,410 Park Ave. West,80205-2614,720-424-7860,Anne Sterrett,Grade 1 - Grade 5,http://polarisprogram.dpsk12.org,Elementary
226,Denison Montessori,1821 S. Yates St.,80219-4318,720-424-8080,Kathryn Mattis,ECE - Grade 6,http://denison.dpsk12.org,Elementary
227,Doull,2520 S. Utica St.,80219-5639,720-424-8000,Jodie Carrigan,ECE - Grade 5,http://doull.dpsk12.org,Elementary
228,Eagleton,880 Hooker St.,80204-3237,720-424-7930,Lee Rains-Thomas,ECE - Grade 5,http://eagleton.dpsk12.org,Elementary
230,Edison,3350 Quitman St.,80212-1736,720-424-7780,Sarah Whitelock,ECE - Grade 5,http://edison.dpsk12.org,Elementary
231,Ellis,1651 S. Dahlia St.,80222-3817,720-424-7700,Jody Cohn,ECE - Grade 5,http://ellis.dpsk12.org,Elementary
235,Grant Ranch,5400 S. Jay Circle,80123-631,720-424-6880,Patricia Hurietta,ECE - Grade 8,http://grantranch.dpsk12.org,K-8
236,Marrama,19100 E. 40th Ave.,80249-7127,720-424-5820,Merida Fraguada,ECE - Grade 5,http://marrama.dpsk12.org,Elementary
238,Fairview,2715 W. 11th Ave.,80204-3312,720-424-7540,Antoinette Hudson,ECE - Grade 5,http://fairview.dpsk12.org,Elementary
240,Force,1550 S. Wolff St.,80219-1147,720-424-7400,Valerie Burke,ECE - Grade 5,http://force.dpsk12.org,Elementary
241,Garden Place,4425 Lincoln St.,80216-3520,720-424-7220,Rebecca Salomon,ECE - Grade 6,http://gardenplace.dpsk12.org,Elementary
243,Godsman,2120 W. Arkansas Ave.,80223-3308,720-424-7060,Priscilla Hopkins,ECE - Grade 5,http://godsman.dpsk12.org/,Elementary
244,Goldrick,1050 S. Zuni St.,80223-2541,720-424-6980,Jessica Marks Ridgway,ECE - Grade 5,http://goldrick.dpsk12.org,Elementary
246,Gust,3440 W. Yale Ave.,80219-5847,720-424-6560,Joanne Lander,ECE - Grade 5,http://gust.dpsk12.org,Elementary
248,International Academy of Denver at Harrington,2401 E. 37th Ave.,80205-3513,720-424-6420,Karin Johnson,ECE - Grade 5,http://harrington.dpsk12.org,Elementary
249,Johnson,1850 S. Irving St.,80219-4656,720-424-6290,Elliot Lepert,ECE - Grade 5,http://johnson.dpsk12.org,Elementary
250,Knapp,500 S. Utica St.,80219-2364,720-424-6130,Shane Knight,ECE - Grade 5,http://knapp.dpsk12.org/,Elementary
251,Hallett Academy,2950 Jasmine St,80207-4924,720-424-6070,Dominique Jefferson,ECE - Grade 5,http://hallett.dpsk12.org,Elementary
252,Lincoln Elementary,710 S. Pennsylvania St.,80209-4135,720-424-5990,Janice Spearman,ECE - Grade 5,http://lincoln.dpsk12.org,Elementary
253,Westerly Creek,8800 E. 28th Ave.,80238-2412,720-424-3160,Jill Corcoran,ECE - Grade 5,http://westerlycreek.dpsk12.org,Elementary
254,McMeen,1000 S. Holly St.,80246-2308,720-424-5520,David Adams,ECE - Grade 5,http://mcmeen.dpsk12.org,Elementary
257,Montclair School of Academics & Enrichment,1151 Newport St.,80220-4751,720-424-5380,Ryan Kockler,ECE - Grade 5,http://montclair.dpsk12.org,Elementary
258,Marie L. Greenwood Academy,5130 Durham Court,80239-4146,720-424-6630,Rachel Payne,ECE - Grade 8,http://greenwood.dpsk12.org,K-8
259,Dora Moore,846 Corona St.,80218-3411,720-424-5300,Karen Barker,K - Grade 8,http://doramoore.dpsk12.org/,K-8
260,Munroe,3440 W. Virginia Ave.,80219-2730,720-424-5230,Abigail Brown,ECE - Grade 5,http://munroe.dpsk12.org,Elementary
261,Newlon,361 Vrain St.,80219-1147,720-424-5150,Rob Beam,ECE - Grade 5,http://newlon.dpsk12.org,Elementary
262,Palmer,995 Grape St.,80220-4426,720-424-5000,LuAnn Tallman,ECE - Grade 5,http://palmer.dpsk12.org,Elementary
263,Park Hill,5050 E. 19th Ave.,80220-1229,720-424-4910,Ken Burdette,ECE - Grade 5,http://parkhill.dpsk12.org,Elementary
264,McKinley-Thatcher,1230 S. Grant St.,80210-1521,720-424-5600,Sonia Geerdes,ECE - Grade 5,http://mckinleythatcher.dpsk12.org,Elementary
269,Sabin World School,3050 S. Vrain St.,80236-2119,720-424-4520,Kirsten Frassanito,ECE - Grade 5,http://sabin.dpsk12.org,Elementary
270,CMS Community School,1300 S. Lowell Blvd.,80219-3844,720-424-4300,Alejandra Sotiros,ECE - Grade 5,http://cmscommunityschool.dpsk12.org,Elementary
271,Schmitt,1820 S. Vallejo St.,80223-3710,720-424-4230,Jesse Tang,ECE - Grade 5,http://schmitt.dpsk12.org,Elementary
275,Smith,3590 Jasmine St.,80207-1350,720-424-4000,Emily El Moudaffar,ECE - Grade 5,http://smith.dpsk12.org,Elementary
276,Steck,450 Albion St,80220-4923,720-424-3870,Robin Kline,ECE - Grade 5,http://steck.dpsk12.org,Elementary
277,Stedman,2940 Dexter St.,80207-2643,720-424-3800,Melissa Peterson,ECE - Grade 5,http://stedman.dpsk12.org,Elementary
278,Steele,320 S. Marion Parkway,80209-2548,720-424-3720,Cindy Kapeller,K - Grade 5,http://steele.dpsk12.org,Elementary
279,Slavens,3000 S. Clayton St.,80210-6704,720-424-4150,Kurt Siebold,ECE - Grade 8,http://slavens.dpsk12.org,K-8
280,Swansea,4650 Columbine St.,80216-2833,720-424-3630,Gilberto Munoz,ECE - Grade 5,http://swansea.dpsk12.org,Elementary
281,Teller,1150 Garfield St.,80206-3513,720-424-3560,Sabrina Bates,ECE - Grade 5,http://teller.dpsk12.org,Elementary
282,Green Valley,4100 Jericho St.,80249-8114,720-424-6710,Blake Hammond,ECE - Grade 5,http://greenvalley.dpsk12.org,Elementary
283,Traylor Academy,2900 S. Ivan Way,80227-3836,720-424-3480,Dawn Carrico,ECE - Grade 5,http://traylor.dpsk12.org,Elementary
284,University Park,2300 S. St. Paul St.,80210-5536,720-424-3410,Grant Varveris,K - Grade 5,http://www.uparkelementary.org,Elementary
285,Valverde,2030 W. Alameda Ave.,80223-1923,720-424-3250,Andrew Schutz,ECE - Grade 5,http://valverde.dpsk12.org/,Elementary
287,Castro,845 S. Lowell Blvd.,80219-3369,720-424-8990,Bob Villarreal,ECE - Grade 5,http://castro.dpsk12.org,Elementary
289,Whittier,2480 Downing St.,80205-5239,720-424-3040,Jai Palmer,ECE - Grade 8,http://whittier.dpsk12.org/,K-8
290,Maxwell,14390 E. Bolling Drive,80239-4329,720-424-5740,Nivan Khosravi,ECE - Grade 5,http://maxwell.dpsk12.org/,Elementary
292,Amesse,5440 Scranton St.,80239-3668,720-424-9988,Charmaine Keeton,ECE - Grade 5,http://amesse.dpsk12.org,Elementary
294,Holm,3185 S. Willow St.,80231-4532,720-424-6350,James Metcalfe,ECE - Grade 5,http://holm.dpsk12.org,Elementary
295,Kaiser,4500 S. Quitman St.,80236-3521,720-424-6210,Mike Rowley,ECE - Grade 5,http://kaiser.dpsk12.org,Elementary
296,Samuels,3985 S. Vincennes Court,80237-1748,720-424-4450,Cesar Rivera,ECE - Grade 5,http://samuels.dpsk12.org,Elementary
297,Centennial,4665 Raleigh St.,80212-2560,720-424-8900,Laura Munro,ECE - Grade 5,http://centennial.dpsk12.org,Elementary
298,Southmoor,3755 S. Magnolia Way,80237-1219,720-424-3930,Sarina Compoz,ECE - Grade 5,http://southmoor.dpsk12.org,Elementary
299,McGlone Academy,4500 Crown Blvd.,80239-4416,720-424-5660,Sara Goodall,ECE - Grade 8,http://mcglone.dpsk12.org,K-8
301,Isabella Bird Community School,2701 N Lima St,,720-423-9900,Brian Ricker,ECE - Grade 5,http://isabellabird.dpsk12.org,Elementary
305,Roots Elementary,3350 Hudson Street,,720-593-1338,Eve Bunevich,K - Grade 5,http://rootselementary.org/,Elementary
306,KIPP Northeast Elementary,19451 E. Maxwell Pl.,,720-452-2551,Lindsey Lorehn,ECE - Grade 4,,Elementary
308,Sandra Todd-Williams Academy,4909 N. Cathay St.,,720-424-8240,Leslie Harvey,ECE - ECE,http://toddwilliams.dpsk12.org/,Other
309,University Prep - Steele St.,3230 E. 38th Ave,,-,Jessica Valsechi,K - Grade 5,http://uprepschool.org/,Elementary
311,Inspire Elementary School,5500 Central Park Blvd.,,720-424-4850,Marisol Enriquez,ECE - Grade 5,http://inspire.dpsk12.org/,Elementary
328,Highline Academy Southeast,2170 S. Dahlia St,80222-3222,303-759-7808,Sarah Varni-Lau,K - Grade 8,http://www.highlineacademy.org,K-8
330,Cesar Chavez Academy,3752 Tennyson St.,,303-455-0848,MaryAnn Mahoney,K - Grade 8,http://www.cca-denver.org,K-8
331,STRIVE Prep - Kepner,911 S. Hazel Ct,80219-3418,720-485-6394,Katie Ryan,Grade 6 - Grade 8,http://www.striveprep.org/school/strive-prep-kepner/,Middle
333,DSST: Henry MS,3005 S Golden Way,,303-802-4130,Lisa Richardson,Grade 6 - Grade 8,,Middle
338,Bear Valley International School,3005 S. Golden Way,,720-423-9600,Lindsay Meier,Grade 6 - Grade 8,http://bearvalley.dpsk12.org/,Middle
339,Wyatt Academy MS,3620 Franklin St.,80205-3325,303-292-5515,Roger Chow,Grade 6 - Grade 8,http://www.wyattacademy.org/,Middle
383,The Boys School of Denver,2401 Alcott St.,,-,Nick Jackson,Grade 6 - Grade 8,,Middle
384,Kepner Beacon MS,911 S Hazel Ct,80219-3418,720-424-0027,Alex Magana,Grade 6 - Grade 8,http://beaconnetworkschools.org/kbms/,Middle
385,McAuliffe Manual Middle School,1700 E. 28th Ave.,,720-423-6550,Jessica Long,Grade 6 - Grade 8,http://mcauliffemanual.dpsk12.org/,Middle
386,Compass Academy MS,2285 S. Federal Blvd.,80219-5400,720-424-0096,Marcia Fulton,Grade 6 - Grade 8,http://www.compassacademy.org,Middle
388,DSST: Conservatory Green MS,8499 E. Stoll Place,,303-802-4120,John Clark,Grade 6 - Grade 8,http://dsstpublicschools.org/,Middle
389,Summit Academy MS,5590 W Evans Ave.,,720-424-2400,Bobby Thomas,Grade 6 - Grade 8,http://summit.dpsk12.org,Middle
390,Denver Montessori Junior HS,4250 Shoshone St,,720-424-2600,Katy Myers,Grade 7 - Grade 9,http://dmhs.dpsk12.org,Middle
392,STRIVE Prep - Montbello,5000 Crown Blvd,,303-999-3825,Vachon Brackett,Grade 6 - Grade 8,http://www.striveprep.org,Middle
393,STRIVE Prep - Green Valley Ranch,4800 Telluride St. Bldg. 5,,303-999-2893,Jessica Savage,Grade 6 - Grade 8,http://www.striveprep.org,Middle
394,DSST: College View MS,3111 W. Dartmouth Ave.,,303-524-6335,Erin Dillon,Grade 6 - Grade 8,http://dsstpublicschools.org/,Middle
395,McAuliffe International School,2540 Holly St.,,720-424-1540,Kurt Dennis,Grade 6 - Grade 8,http://mcauliffe.dpsk12.org,Middle
396,West Leadership Academy MS,951 Elati St.,,720-423-5460,Teresa Klava,Grade 6 - Grade 8,http://westleadershipacademy.dpsk12.org,Middle
397,West Early College MS,951 Elati St.,,720-423-5300,Kurtis Quig,Grade 6 - Grade 8,http://westearlycollege.dpsk12.org/,Middle
398,Denver Center for 21st-Century Learning at Wyman MS,1690 Williams St.,,720-424-2980,Renard Simmons,Grade 6 - Grade 8,http://dc21.dpsk12.org/,Middle
399,Vista Academy MS,4800 Telluride St. Bldg. 6,,720-423-7650,Anthony Smith,Grade 6 - Grade 8,http://vistaacademy.dpsk12.org/,Middle
405,Grant Beacon,1751 S. Washington St.,80210-3235,720-423-9360,Alex Magana,Grade 6 - Grade 8,http://grant.dpsk12.org/,Middle
406,Hamilton,8600 E. Dartmouth Ave.,80231-4204,720-423-9500,Christian Sawyer,Grade 6 - Grade 8,http://hamilton.dpsk12.org,Middle
407,Hill Campus of Arts & Sciences,451 Clermont St.,80220-5019,720-423-9680,Sean Kavanaugh,Grade 6 - Grade 8,http://hill.dpsk12.org,Middle
408,Kepner,911 S. Hazel Court,80219-3418,720-424-0000,Elza Guajardo,Grade 6 - Grade 8,http://kepner.dpsk12.org,Middle
412,Merrill,1551 S. Monroe St.,80210-3015,720-424-0600,Christina Sylvester,Grade 6 - Grade 8,http://merrill.dpsk12.org,Middle
413,Morey,840 E. 14th Ave.,80218-1803,720-424-0700,Noah Tonk,Grade 6 - Grade 8,http://morey.dpsk12.org,Middle
416,Skinner,3435 W. 40th Ave.,80211-1921,720-424-1420,Michelle Koyama,Grade 6 - Grade 8,http://skinner.dpsk12.org,Middle
418,Henry World School,3005 S. Golden Way,80227-3849,720-423-9560,Lani Nobles,Grade 6 - Grade 8,http://henry.dpsk12.org,Middle
419,Dr. Martin Luther King, Jr. Early College MS,19535 E. 46th Ave.,80249-6637,720-424-0420,Kimberly Grayson,Grade 6 - Grade 8,http://mlk.dpsk12.org,Middle
423,Bruce Randolph Middle School,3955 Steele St.,80205-3616,720-424-1080,Cesar Cedillo,Grade 6 - Grade 8,http://randolph.dpsk12.org/,Middle
425,Denver School of the Arts MS,7111 Montview Blvd.,,720-424-1700,Bill Kohut,Grade 6 - Grade 8,http://dsa.dpsk12.org/,Middle
426,KIPP Sunshine Peak Academy,375 S. Tejon St.,80223-1961,303-623-5772,Michael Kreger,Grade 5 - Grade 8,http://www.kippcolorado.org/,Middle
428,STRIVE Prep - Federal,2626 W. Evans,,720-460-2850,Rebecca Riopelle,Grade 6 - Grade 8,http://www.striveprep.org,Middle
429,STRIVE Prep - Westwood,3201 W. Arizona Ave.,,303-962-9880,Kathleen Esparza,Grade 6 - Grade 8,http://www.striveprep.org,Middle
431,Denver Center For International Studies MS,574 W. 6th Ave,80204-2197,720-423-9000,Therese McCorquodale,Grade 6 - Grade 8,http://dcis.dpsk12.org,Middle
434,Noel Community Arts School MS,5000 Crown Blvd,80239-5628,720-423-5840,Rhonda Juett,Grade 6 - Grade 8,http://ncas.dpsk12.org/,Middle
435,KIPP Northeast Denver Middle School,4635 Walden St.,,303-307-1970,Stephani Olson,Grade 5 - Grade 8,http://www.kippcolorado.org/,Middle
436,DSST: Cole MS,1350 E. 33rd Avenue,,303-524-6354,Becca Block,Grade 6 - Grade 8,http://dsstpublicschools.org/,Middle
437,DSST: Byers MS,150 S. Pearl St.,,303-524-6350,Brad White,Grade 6 - Grade 8,http://dsstpublicschools.org/,Middle
438,DSST: Stapleton MS,2000 Valentia St.,80238-2785,303-320-5570,Jessica Heesacker,Grade 6 - Grade 8,http://dsstpublicschools.org/,Middle
442,Denver Discovery School,3480 Syracuse St., 2nd Floor,,720-424-4790,Kristen Atwood,Grade 6 - Grade 8,http://denverdiscoveryschool.dpsk12.org,Middle
443,DSST: GVR MS,4800 Telluride St., Bldg. 3,,303-524-6300,Caroline Gaudiani,Grade 6 - Grade 8,http://dsstpublicschools.org/,Middle
444,STRIVE Prep - Lake,1820 Lowell Blvd.,,303-551-7200,Susan Morris,Grade 6 - Grade 8,http://www.striveprep.org,Middle
445,STRIVE Prep - Sunnyside,4735 Pecos St,,720-723-2000,Jessica Tillis,Grade 6 - Grade 8,http://www.striveprep.org,Middle
446,Girls Athletic Leadership MS,750 Galapago St,,303-282-6437,Nina Safane,Grade 6 - Grade 8,http://www.galschools.org/,Middle
447,DCIS at Montbello MS,5000 Crown Blvd.,,720-423-5900,Julie Murgel,Grade 6 - Grade 8,http://www.dcismontbello.org/,Middle
448,Lake International School,1820 Lowell Blvd.,80204-1549,720-424-0260,Rebecca Marques-Guerrero,Grade 6 - Grade 8,http://lake.dpsk12.org,Middle
449,Kunsmiller Creative Arts Academy MS,2250 S. Quitman Way,,720-424-0200,Peter Castillo,Grade 6 - Grade 8,http://kcaa.dpsk12.org,Middle
450,Abraham Lincoln,2285 S. Federal Blvd.,80219-5400,720-423-5000,Larry Irvin,Grade 9 - Grade 12,http://lincolnlancers.org/,High
451,East,1600 City Park Esplanade,80206-1508,720-423-8300,Andy Mendelsberg,Grade 9 - Grade 12,http://east.dpsk12.org,High
452,George Washington,655 S. Monaco Parkway,80224-1228,720-423-8600,Scott Lessard,Grade 9 - Grade 12,http://gwhs.dpsk12.org,High
453,John F. Kennedy,2855 S. Lamar St.,80227-3809,720-423-4300,Christian De La Oliva,Grade 9 - Grade 12,http://jfk.dpsk12.org,High
455,North,2960 N. Speer Blvd.,80211-3754,720-423-2700,Scott Wolf,Grade 9 - Grade 12,http://north.dpsk12.org,High
456,South,1700 E. Louisiana Ave.,80210-1810,720-423-6000,Jen Hanson,Grade 9 - Grade 12,http://south.dpsk12.org,High
457,Thomas Jefferson,3950 S. Holly St.,80237-1117,720-423-7000,Mike Christoff,Grade 9 - Grade 12,http://tjhs.dpsk12.org/,High
460,KIPP Northeast Denver Leadership Academy,18250 E 51st Ave,,720-452-2570,Grant Erwin,Grade 9 - Grade 12,http://www.kippcolorado.org/kndla/index.cfm,High
461,Denver Center For International Studies HS,574  W. 6th Ave,80204-2197,720-423-9000,Therese McCorquodale,Grade 9 - Grade 12,http://dcis.dpsk12.org,High
462,DSST: GVR HS,4800 Telluride St., Bldg. 2,,303-524-6300,Jenna Kalin,Grade 9 - Grade 12,http://dsstpublicschools.org/,High
463,Bruce Randolph High School,3955 Steele St.,80205-3616,720-424-1080,Cesar  Cedillo,Grade 9 - Grade 12,http://randolph.dpsk12.org/,High
464,Manual,1700 E. 28th Ave.,80205-4502,720-423-6300,Nickolas Dawkins,Grade 9 - Grade 12,http://manual.dpsk12.org,High
465,Kunsmiller Creative Arts Academy HS,2250 S. Quitman Way,80219-4139,720-424-0200,Peter Castillo,Grade 9 - Grade 12,http://kcaa.dpsk12.org,High
466,DCIS at Montbello HS,5000 Crown Blvd.,,720-423-5900,Julie Murgel,Grade 9 - Grade 12,http://www.dcismontbello.org/,High
467,Noel Community Arts School HS,5000 Crown Blvd,80239-5628,720-423-5840,Deborah Blair-Minter,Grade 9 - Grade 12,http://ncas.dpsk12.org/,High
468,Collegiate Preparatory  Academy,5290 Kitteredge Street,,720-424-0850,Martha Gustafson,Grade 9 - Grade 12,http://collegiateprep.dpsk12.org,High
469,Dr. Martin Luther King Jr. Early College HS,19535 E. 46th Ave.,80249-6637,720-424-0420,Kimberly Grayson,Grade 9 - Grade 12,http://mlk.dpsk12.org,High
470,GW Career Academy,655 S. Monaco Parkway,80224-1128,720-423-5390,April McLaughlin,Grade 9 - Grade 12,,High
471,High Tech Early College,11200 E. 45th Ave.,,720-424-2450,Stacy Parish,Grade 9 - Grade 12,http://htec.dpsk12.org,High
472,DSST: Cole HS,3240 Humboldt St.,,303-524-6354,Becca Block,Grade 9 - Grade 12,http://dsstpublicschools.org/,High
473,Florence Crittenton,55 South Zuni Street,,720-423-7900,Michelle Wright,Grade 9 - Grade 12,http://florencecrittenton.dpsk12.org,High
474,Balarat Outdoor Education Center,OFFICE: Skinner Middle School,,720-424-2940,Patrick  Emery,ECE - ECE,http://balarat.dpsk12.org/,Other
475,Denver School of the Arts HS,7111 Montview Blvd.,80220-1867,720-424-1700,Bill  Kohut,Grade 9 - Grade 12,http://dsa.dpsk12.org,High
477,P.R.E.P. Academy MS,2727 Columbine St.,80205-3709,720-424-8451,Eric Rowe,Grade 6 - Grade 8,http://prepacademy.dpsk12.org,Middle
478,Ridge View Academy,28101 E. Quincy Ave., Watkins, CO,80137-9501,303-214-1136,Ed Cope,Grade 7 - Grade 12,http://www.ridgeviewacademy.com,High
479,Colorado High School Charter,1175 Osage St. #100,80204-3443,303-892-8475,Clark Callahan,Grade 9 - Grade 12,http://www.coloradohighschoolcharter.com,High
481,DSST: Stapleton HS,2000 Valentia St.,80238-2785,303-320-5570,Jeff Desserich,Grade 9 - Grade 12,http://dsstpublicschools.org/,High
484,Denver Online High School,4250 Shoshone St.,,720-424-8281,Ian Jones,Grade 9 - Grade 12,http://online.dpsk12.org/,High
485,Southwest Early College,3001 S. Federal Blvd.,80236-2711,303-935-5473,Halley Joseph,Grade 9 - Grade 12,http://www.swecollege.org/,High
488,Academy of Urban Learning,2417 W. 29th Ave.,80211-1024,303-282-0900,Michelle Kennard,Grade 9 - Grade 12,http://www.auldenver.org/,High
